card1,card2,card3,card4,card5,bet1,bet2,result
KH,KD,JS,9H,6H,c,c,win
JS,7D,QH,AH,AS,c,r,win
8D,6C,JD,TD,TH,c,r,loss
KC,TD,AS,QS,6S,c,c,win
TH,QD,KS,7D,QH,c,c,win
8D,QC,QH,6H,TD,c,c,win
9C,JH,9D,QC,TD,c,c,win
6S,KC,TH,8C,QH,c,r,loss
QS,8C,AD,TD,KS,c,c,win
QS,9H,JC,7C,9S,c,c,win
9S,7S,AS,6D,JS,r,r,win
QC,KS,9C,TD,6S,c,r,win
7C,6C,QS,9S,AC,r,r,loss
6H,TD,AD,KS,JC,c,r,loss
KS,8D,QC,7C,7S,r,r,loss
8S,8H,AS,TC,9C,c,r,loss
AD,TH,7C,KD,8C,c,r,win
TH,KH,KS,6C,8D,c,c,loss
9H,AD,AS,QC,8D,c,c,win
AD,7C,6D,9D,QH,c,r,loss
7H,6C,AC,8H,AH,c,r,loss
8D,JD,QC,TS,9S,c,c,win
7D,9C,AH,9S,JC,c,c,win
QS,6S,QH,AS,7H,c,c,win
8D,8H,6D,TD,7C,c,r,loss
KD,6H,TS,KC,AS,c,c,win
QD,9D,6H,KS,TD,c,r,win
6S,TS,JH,9C,8S,c,r,win
KH,9S,6H,JS,KS,c,r,win
KC,7H,7S,KH,QS,c,r,loss
AD,6C,QH,JH,8S,c,r,loss
7H,KS,KH,JS,JH,c,r,win
8C,9S,6C,JS,TS,c,r,win
TD,9D,AS,TH,AC,c,r,loss
QD,8H,8S,6S,7D,c,r,win
8S,6D,TC,AS,QS,c,r,loss
KD,6D,AS,QC,7D,c,c,win
AH,6H,6C,QH,AS,c,r,win
JS,JH,7S,KC,8D,c,r,loss
JH,9S,6S,KS,7C,c,r,win
9D,KH,QS,6C,JC,c,r,loss
7C,7S,8H,KD,AS,c,r,loss
7D,TH,7S,9C,AC,r,r,win
TD,QD,JD,8S,6D,c,c,loss
AS,7D,6S,9D,8S,r,r,loss
AH,TD,JH,TS,AD,c,r,win
KH,JD,7S,7C,TC,c,r,win
AD,JH,QS,QD,TD,c,r,loss
8D,7D,KH,KS,KC,r,r,win
TD,6S,KD,QS,KC,c,r,loss
QH,TD,9S,JS,7S,c,r,win
6S,AS,7C,8H,TS,c,r,loss
AC,6D,QS,6S,7D,c,r,win
6H,8C,AH,JS,9D,c,c,loss
QD,AS,7S,6H,QS,c,r,win
QC,8D,7H,AD,JD,c,c,win
7S,TS,8H,AC,QD,c,c,loss
8S,JS,AS,6D,TH,c,r,win
8H,KS,7D,JS,AS,c,c,win
QC,6H,8S,6D,JC,r,c,win
9H,7H,8D,TH,QH,r,r,loss
QS,JD,9H,7H,8S,c,r,win
7C,QD,KH,7S,6H,r,r,loss
9S,JH,8H,9C,6D,c,r,loss
QS,KS,7S,JH,AH,c,r,loss
9H,TS,8C,7H,JD,c,r,win
9D,TD,8C,TC,6D,c,r,loss
AC,9C,QS,JC,8H,c,c,loss
QH,AD,JS,KH,7D,c,r,loss
AC,JS,KD,7C,9C,c,r,loss
AH,AC,TS,8H,KH,c,c,win
6D,JC,KH,AH,QC,c,r,loss
KS,KH,6H,7C,9D,c,c,win
AD,9S,KS,8D,JC,c,r,loss
QH,9C,7S,QS,7D,r,r,loss
TH,KD,6S,KC,JD,c,c,win
AD,AS,TS,KS,7C,c,r,loss
9D,8S,7S,KD,JD,r,r,loss
7S,AH,8H,7C,9H,c,c,win
JD,9H,8D,JS,9C,c,r,win
KH,8S,8H,TH,7D,r,c,loss
