card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
8S,KH,AD,TD,7S,8D,r,r,r,loss
JS,QH,9D,JC,JH,QS,c,r,r,win
6H,TH,6D,QC,8D,QH,c,r,r,loss
JH,JC,8S,TC,7C,6S,r,r,r,loss
AC,8H,6S,8S,KH,KC,c,c,r,win
JH,QH,AS,TH,9D,KC,c,r,r,loss
6S,QH,TH,AH,KH,8C,r,r,r,loss
AH,KC,KD,TD,QC,QS,r,r,r,win
JS,9H,JD,TH,6H,8C,c,c,r,loss
8S,AD,KC,JS,7C,JC,c,c,r,win
8C,7H,AS,7D,9D,TC,c,c,c,win
8S,6H,TS,QD,7C,8H,c,c,c,win
QH,8C,AD,7C,KH,7H,c,r,r,loss
KC,7H,KH,7D,6S,QH,r,c,c,win
QS,6C,9S,8S,AD,7S,r,r,r,loss
8H,JS,KH,6S,AD,KD,c,r,r,loss
6H,JH,KC,TH,AH,QH,c,r,r,win
TH,KH,8C,9H,6D,TC,r,r,r,win
QS,JD,JS,7D,7C,QH,c,r,r,win
TH,AS,9H,9C,9S,TD,c,r,r,win
KH,8S,QC,QH,6S,JS,r,r,r,loss
6H,6C,QD,AD,AH,6S,c,r,r,win
AS,AH,JH,JD,8D,9D,c,r,r,loss
TD,6H,KH,AH,QH,9S,c,r,r,loss
8S,7S,QD,AH,JS,QS,c,r,r,win
TC,QC,8D,TD,9D,KC,c,r,r,loss
7D,AC,QH,6S,7C,QS,c,c,r,loss
7D,KC,TC,7C,8C,AC,c,r,r,win
KS,6S,AS,6H,TH,9H,c,c,r,loss
6S,JC,8D,JS,KD,6D,r,c,c,loss
9D,AH,6S,6C,8S,QS,c,r,r,win
JD,QC,8S,8H,JC,6H,r,r,r,win
7C,6C,7D,8C,TC,QH,c,r,r,loss
AD,9D,KC,QH,6H,JS,r,r,r,loss
AS,8H,QH,7D,KD,AH,c,r,r,loss
AS,9C,TS,QS,KS,9D,c,c,c,win
JS,7C,KS,6C,8S,JC,c,r,r,win
AS,6S,7D,9C,KC,7H,r,r,r,loss
6D,KS,AS,6H,TC,8H,c,c,r,loss
6D,JD,TD,AS,6H,JH,c,r,r,win
7H,9C,7D,TH,TS,9H,c,r,r,loss
TS,JS,AS,6D,9D,TH,c,r,r,loss
8D,AC,9C,TS,TD,QC,c,r,r,loss
7D,AD,QC,KS,TC,QH,r,r,r,loss
JC,JS,9H,KD,TH,8C,c,r,r,win
QS,TS,6C,TD,QD,JD,r,c,r,win
8H,JS,TS,9C,9S,JC,c,r,r,win
6H,QD,AH,7D,KH,8D,c,r,r,loss
6C,6S,KH,AH,JH,6H,c,r,r,win
7D,9S,7H,KC,TC,TH,c,r,r,loss
6S,9S,TS,AS,9C,KD,r,c,r,loss
9S,QD,7H,6S,TC,AD,r,c,c,win
6D,AH,TC,8C,KD,JC,c,c,c,loss
AH,QH,8H,7D,8D,JC,r,r,r,loss
6D,JD,KH,8S,TD,8H,r,r,r,loss
JS,7H,6D,9D,AS,6S,c,r,r,loss
8S,AC,AS,QC,TS,6C,c,c,c,loss
7C,JH,7D,8S,8H,6S,c,r,r,loss
QC,7S,6D,TC,9H,6C,c,c,r,loss
AH,QC,9S,QH,9D,9H,r,r,r,win
TS,9S,7S,QS,8H,7C,r,c,r,loss
8C,QD,TH,JD,6C,9C,r,r,r,win
TD,6H,AD,6S,8D,JS,c,r,r,loss
AC,8D,TH,QS,KC,8H,c,r,r,win
JD,JS,8H,QD,8C,KH,r,r,r,loss
TD,9H,7S,6D,AS,8D,r,c,c,win
TD,JC,9C,8S,TH,QH,c,r,r,win
6D,JH,KS,TH,AD,KH,c,c,r,loss
6C,7C,9D,KD,TD,8H,r,r,r,win
8D,TD,6D,QC,TS,8C,c,c,c,win
6H,JH,JD,AS,6C,6D,c,c,r,win
KD,7S,9S,9C,9D,8S,c,r,r,loss
8C,8D,KD,AS,TD,TS,c,r,r,loss
AH,7S,QC,KC,AC,JH,c,r,r,win
QS,TD,9D,AD,7C,6C,c,r,r,loss
KC,6S,JD,AH,9C,QS,r,r,r,loss
6S,TH,8S,QS,AH,JC,c,c,c,loss
TC,KC,6C,9H,JS,AD,c,r,r,loss
QS,KS,7H,6C,QH,JS,c,r,r,loss
7H,AS,KH,AH,9H,6S,c,r,r,win
JH,QS,KD,JS,KS,7C,c,r,r,win
TS,6D,6H,AD,TD,QS,c,r,r,win
6S,KS,7S,QH,9S,9D,r,r,r,loss
6D,7S,KH,AH,TH,8S,r,r,r,loss
AH,AD,6S,7C,8D,AS,r,c,c,win
9C,7D,6C,JS,TS,AC,c,r,r,win
AS,TS,6S,TD,JD,6C,c,c,r,win
JC,QC,8S,6D,6H,AD,r,r,r,loss
JH,7H,6C,9S,QC,6D,c,r,r,loss
QH,7H,KC,9D,9C,KS,c,r,r,loss
TD,9D,AS,9C,QH,AH,c,c,r,win
KC,JD,6C,7S,TH,9H,c,r,r,win
7D,9C,6C,TD,8S,TC,c,r,r,loss
AC,KH,9D,KC,7S,8H,c,c,r,win
9H,9C,7S,KH,QC,QH,c,c,r,loss
QC,KC,8H,KD,6S,9S,c,r,r,win
TS,6H,AH,7C,QD,JC,c,c,r,loss
9S,KD,JS,8D,6S,TS,c,r,r,loss
6D,TH,AD,8H,7C,AH,c,c,r,win
8C,AC,7H,TS,KD,9S,c,r,r,loss
AS,8C,7C,TS,JH,JD,c,r,r,loss
6D,8H,TC,QS,AD,QD,c,c,r,loss
8S,TC,6C,AD,JS,9H,r,r,r,loss
TD,TH,6C,8H,AH,KD,c,r,r,loss
QH,6C,TC,JS,QS,QC,c,c,r,win
8S,KC,QD,9S,KH,AS,c,r,r,loss
TD,QH,TS,KH,7H,9H,c,c,r,loss
9H,8H,8D,KD,7C,AS,r,r,r,loss
9S,TS,9D,JS,JC,6S,c,r,r,win
6H,JC,6D,AC,QH,TS,c,c,c,win
