card1,card2,card3,card4,card5,result
6C,JC,KS,8C,TS,loss
8D,6S,8H,9D,QH,loss
KS,8H,QD,8C,TH,loss
AH,QS,8S,9C,KH,win
7H,JH,JS,6C,TS,loss
9D,QH,JD,8H,8S,loss
QH,6H,9S,7H,6C,win
7C,JD,AC,7S,9H,win
8C,8S,AH,7S,KD,loss
JS,QD,KH,7C,6S,loss
QH,9C,TH,7C,TD,loss
QH,AC,6H,JS,KS,loss
QS,KH,AH,KD,6S,win
8H,6C,6D,TS,9D,loss
AD,8H,6S,QH,JD,win
9D,7D,KD,JS,KH,win
7C,7H,QD,TS,7S,win
6H,KD,TC,8H,9C,loss
8C,KC,9D,QC,9H,loss
6D,9C,QH,TC,7C,win
6C,AS,JH,TC,KH,loss
9D,7C,TD,JS,KS,loss
6H,KH,QH,QD,AS,loss
9C,QC,JD,KH,KD,loss
8H,JD,KD,8S,KH,win
QD,9S,TS,7S,KD,loss
TD,6H,TS,7C,JD,win
QD,6H,8S,9H,9C,loss
9D,8H,QD,7H,6S,win
KC,QD,6C,9S,7S,loss
7C,6D,JS,7H,6S,win
TS,TH,7H,KS,KC,win
6S,8S,TH,KH,AC,loss
KD,TC,KS,AD,QH,win
QC,9H,9D,AS,QH,win
TS,8S,7D,6D,QD,win
9H,7S,KH,9S,8H,win
AD,JD,KC,QC,6S,loss
JS,AH,8C,JC,6S,win
QS,9C,6D,TS,9S,win
JC,TD,6C,6H,AD,win
QH,JH,9H,QS,6S,win
8H,KC,AC,KS,QS,win
9H,9D,KH,QC,6C,loss
6H,9D,KC,7C,9C,loss
JH,6C,9D,7H,9S,win
TD,KD,7C,TC,JH,win
7C,QH,8S,KS,7D,win
AC,8S,QS,KC,KD,win
QD,7H,6S,TH,QH,win
TH,TS,AH,TD,7C,win
7C,JS,QH,8H,6D,loss
9D,JD,JC,KD,AH,loss
QC,JC,KD,9D,TS,win
7S,9H,QD,6D,TD,loss
8H,7H,KH,7C,TC,loss
AH,AS,KD,JS,QC,win
AC,JH,6C,QS,KH,win
7C,9S,AD,7H,TC,loss
TS,9C,JS,6H,8H,win
6C,KS,9D,JD,7S,loss
KD,9S,KS,9C,7C,win
AC,8S,KS,7C,JC,loss
8D,TH,JS,JC,TD,win
KD,8S,6C,AS,JD,loss
TH,9H,7H,AD,8H,win
KC,TH,9S,7C,TD,win
QD,9S,JH,AS,QC,win
JS,AC,KS,JC,9H,win
QS,9C,QD,TD,QH,win
6S,7D,7C,9H,8C,win
6C,8D,AC,QD,QS,loss
QS,KS,TC,7D,TS,loss
JH,KC,QH,QC,9C,win
7S,TH,9D,AC,KH,win
AD,KH,8S,8C,JD,loss
QS,9C,JD,TS,8C,win
AH,8H,8D,7D,TD,loss
QS,KH,8D,9H,JS,win
AD,8D,QS,TC,7S,loss
6D,8C,QD,JH,KC,loss
JS,6H,QD,AC,9D,loss
KC,AC,KH,TS,9C,loss
7D,9C,KD,KS,6C,loss
9C,JC,KD,TC,TD,loss
TC,JH,JC,AD,8H,win
6D,JS,JC,8C,TC,loss
7D,9H,8D,AS,AC,loss
8D,9H,AH,JD,7S,loss
JS,9D,JH,7H,6C,win
AH,6C,6S,TH,8S,win
QH,AS,TH,8C,7S,loss
TH,6S,9H,JC,JS,loss
KH,JS,7H,AH,8H,win
7D,QC,TD,8D,6D,win
AC,9C,JC,7C,9H,loss
9S,AC,7D,7H,JD,loss
JD,8S,6C,QH,7H,loss
