card1,card2,card3,card4,card5,card6,card7,result
JC,TD,6H,8H,9H,9D,6C,loss
KH,6C,JD,KS,7D,6D,TH,win
TC,9H,6S,8H,QS,8S,JS,win
7C,8D,7S,9S,8S,TC,KH,win
9S,8H,8C,JD,7H,JH,6S,loss
7S,QD,8C,TD,9S,TC,KS,loss
TD,9D,KS,JS,QC,QD,7C,win
QD,7C,8S,TC,8D,7H,TS,loss
JH,QC,JC,QS,TH,9H,6C,loss
KS,TS,JS,7C,AH,6D,7D,loss
9C,6C,7S,9S,JH,6D,TC,win
QS,KS,7H,9C,AH,7S,8C,loss
9D,7D,6D,KC,6S,KH,JC,loss
QH,AD,KH,JD,TS,7C,AC,win
9C,8H,6C,TS,AH,JS,7C,win
AH,TH,7H,6C,8H,AD,TD,win
TH,JS,9C,QS,8C,7C,TC,win
JC,AC,6S,QD,TC,7C,AD,loss
9S,TS,AD,JD,AC,QC,QD,loss
6C,9D,8C,TC,JD,TH,9H,loss
QS,JH,KD,JD,AD,KC,AH,loss
JS,JC,TS,QC,8D,AD,QS,win
JC,QS,AH,JS,7C,8H,QH,win
7H,7D,KD,AH,AS,9S,JH,loss
TS,AS,JS,KD,JC,KH,8S,win
8H,6H,AH,KH,TC,QH,AS,win
QD,QH,6D,6H,JD,QC,KD,win
8H,6D,8D,9H,AS,JS,QS,loss
6H,JD,TC,TD,JC,9C,AS,loss
KD,6D,6C,AC,TS,JS,KC,loss
JS,KD,9S,KH,8C,9C,TC,win
AD,7H,KD,QS,7S,8D,9S,loss
9C,AH,9D,KD,JC,TC,TH,win
7C,7S,TS,7H,6C,JH,AS,win
9C,7S,9H,TC,AH,7D,AD,win
TC,6H,JS,QS,9H,KC,AH,win
KD,8C,TH,QC,AS,AH,QD,loss
KH,9C,8D,TH,6S,JC,AS,loss
TS,AH,JC,KD,TH,AS,9H,win
7C,9S,8D,8S,6S,KC,JH,loss
TH,7C,AS,7S,6D,9C,QC,win
TC,JS,6H,8S,TH,7S,JC,win
TH,QH,7S,6S,QC,AH,8H,win
8D,6D,7D,JH,TC,8C,QS,loss
9D,AC,KS,JH,8C,9C,7D,loss
AC,QS,AD,7C,QH,QD,8H,win
AC,TH,QC,TS,AD,9C,QH,win
JD,7C,AS,QS,6H,8D,9C,loss
9C,8C,KH,AD,8D,6D,9H,win
7C,6C,QC,9D,AH,QD,TC,loss
JD,9S,JH,KS,KH,8D,AC,win
TD,QH,7D,QC,AH,7C,AC,loss
9S,JH,TS,8D,AC,KC,7D,win
KS,JC,JD,QC,9H,QH,6H,win
KD,JH,8D,JC,6C,KC,QH,win
AD,QS,8H,TS,6H,JH,6C,loss
6S,6C,AS,QD,AC,TC,6H,win
6C,JH,KS,9H,TS,6H,AH,win
TD,JC,AH,JS,8H,8C,7C,loss
KH,7H,9H,KC,QD,TS,AC,loss
QS,8S,TD,JH,8H,AS,9S,win
AD,6C,9D,8H,JC,JS,KD,loss
6D,KS,JS,QH,TS,KC,6S,loss
JD,6S,9S,9C,JH,6H,8C,win
8C,AD,KH,AS,6C,9S,TH,loss
AC,JH,TS,7H,7C,8S,JD,win
8D,JH,AH,TD,JS,6S,6D,win
JD,TC,KC,QS,AS,6S,7H,win
KS,QS,6S,7D,QD,AC,KD,win
QD,QC,KH,8H,AC,KC,JH,win
6S,9S,8C,8H,7C,QD,QS,win
8C,JD,QH,JH,8D,6C,TH,win
AS,7H,9D,6S,6H,AH,AD,win
KS,8S,QD,7H,9H,KC,KH,win
9C,9S,KC,6S,AD,TS,6C,loss
9H,QC,JD,JC,AS,TD,8H,win
TS,AS,6D,JC,KD,AC,9D,win
KC,8S,JH,6C,7C,9S,QH,loss
7H,QS,8H,AS,8C,JH,QH,win
KS,JS,8C,7S,JC,6C,6S,loss
8C,QD,JS,9C,KD,KC,7D,loss
8D,6H,JS,6D,8S,8C,8H,win
8D,JD,KS,9S,TH,7D,6H,win
KD,TC,9S,QS,9D,6C,6D,win
KS,9C,TH,JD,TS,AS,7H,loss
KD,7H,8D,TS,KC,8C,AD,loss
7C,7D,9H,9D,9C,KS,TH,loss
