card1,card2,card3,card4,card5,bet1,bet2,result
AS,TS,9D,7H,KD,c,c,loss
7S,KH,KC,9D,JC,c,c,win
AC,8D,9S,KH,9D,c,c,loss
JC,QS,QD,KC,AS,c,c,win
TD,7H,9S,QH,KH,c,c,win
AH,7D,JC,9D,9S,c,c,loss
7S,8D,JD,8H,9C,c,c,win
TD,QH,9S,KH,7S,c,c,loss
JC,TH,QS,9D,JH,c,c,win
9S,6S,7D,QS,8C,c,c,loss
9H,TS,AS,JH,6H,c,c,loss
JH,7C,6C,QS,8C,c,c,win
9D,7S,JC,9H,AC,c,c,loss
JS,6H,9S,9H,7S,c,c,loss
9S,KH,9C,QD,QH,c,c,win
9H,QC,AD,TD,KD,c,c,win
8S,8D,JD,TC,JS,c,c,win
6S,JD,6C,TS,QH,c,c,loss
AC,QD,QS,KD,AS,c,c,win
9C,JS,7C,AD,6D,c,c,loss
QS,TC,9S,6S,KD,c,c,win
9C,JC,8S,KS,QS,c,c,loss
KC,JC,7C,KD,QS,c,c,win
JS,KD,6C,7H,AH,c,c,loss
AH,KC,QS,TH,7C,c,c,win
TH,QS,6C,6D,7C,c,c,win
JD,AC,9C,KD,8H,c,c,loss
6S,7D,6H,8S,KC,c,c,loss
AC,8H,TH,9D,JS,c,c,loss
JD,QC,8S,9S,JC,c,c,win
9C,KD,KC,JC,AS,c,c,win
6C,QS,KH,JH,8C,c,c,loss
TD,7D,QH,AC,QC,c,r,loss
9C,KD,AC,7S,9H,c,c,loss
TH,6H,8D,9C,JS,c,c,loss
QD,9D,KH,JD,JS,c,c,loss
7S,6D,6C,JH,QH,c,c,loss
8C,JD,JH,7H,JS,c,c,win
AS,TS,7S,9S,AC,c,c,win
TD,8S,KC,JS,7S,c,c,win
KH,JH,AC,6C,AS,c,c,win
9H,8S,QD,7S,JS,c,c,loss
9D,9S,8D,7D,6H,c,c,win
8C,6H,KH,TD,KS,c,c,loss
JH,7D,AC,KC,8H,c,c,loss
QD,6H,6D,KC,JS,c,c,win
6S,8H,8C,7H,KH,c,c,win
7C,QS,9D,6S,8D,c,c,win
7C,6C,7S,TD,TC,c,r,loss
8D,AD,QC,8H,6D,c,c,loss
9H,7H,KC,AD,TC,c,c,loss
JS,TC,6C,7D,TD,c,c,loss
8C,AD,AS,9H,8D,c,c,win
6S,9S,7C,6H,QC,c,c,win
7D,KH,9S,JH,6S,c,c,loss
KD,9H,TD,7D,AH,c,c,win
TH,QH,KS,AS,7C,c,c,win
7S,JD,TC,9H,8H,c,c,win
KD,AH,KS,JS,9C,c,c,win
6H,KD,8C,KH,7H,c,c,win
JS,AH,7S,QD,8H,c,c,loss
6S,QS,7S,AS,9H,c,c,loss
9C,JD,QC,JH,9H,c,c,win
KS,7H,AD,7C,KC,c,c,win
7D,9S,6D,6H,QD,c,c,loss
TS,8H,6H,AS,JH,c,c,loss
6C,6S,KC,AH,JH,c,c,loss
7C,6S,AC,7H,9S,c,r,loss
AC,QH,AS,7D,KS,c,c,win
QC,QH,8S,8H,9S,c,r,loss
QD,TS,JC,KS,6H,c,c,win
7C,6H,KS,TH,6C,c,c,loss
AD,KS,8D,7H,QD,c,c,loss
QH,9H,QS,7S,9C,c,c,win
QD,JS,TH,7H,QC,c,c,win
TC,QH,9H,KH,6D,c,c,win
TH,TD,6D,8D,8S,c,c,win
TC,AH,TD,7C,JC,c,c,win
AC,9C,6C,9D,7S,c,c,win
9S,TH,8S,TC,7S,c,c,win
AC,JS,TH,KD,9C,c,c,loss
AS,KC,6D,TD,8C,c,c,loss
JD,7H,7D,TD,JC,c,c,loss
QD,KC,QS,AH,KS,c,c,loss
KD,6D,JH,6C,QS,c,c,win
7S,9H,JS,JD,AC,c,r,loss
7D,8C,JS,8D,KC,c,c,loss
9H,AH,QD,9D,TD,c,c,loss
6D,AC,7H,TD,TC,c,c,win
TC,KC,9C,QC,TH,c,c,win
6D,QS,KC,7H,TD,c,c,loss
KC,8C,JC,JH,7S,c,c,loss
8C,JD,9H,6D,8H,c,c,loss
8H,TC,KS,7H,6H,c,c,loss
JS,TC,7C,TH,QD,c,c,win
TD,KH,KS,JC,6D,c,c,win
KH,TS,QD,9S,JH,c,c,loss
QH,9C,QD,AC,KH,c,c,loss
JS,JC,7S,6S,7C,c,r,loss
