card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
JC,AS,7D,8S,9H,7C,c,c,c,loss
AD,AS,KC,9H,7C,QS,c,c,c,loss
8C,AH,8S,KS,6H,KC,c,c,c,win
9D,7C,KH,7H,6C,8H,c,c,c,win
6D,JD,6H,QC,6S,7S,c,c,c,win
6H,7S,JS,7H,9H,JH,c,c,c,loss
KD,KS,JS,KH,6H,6S,c,c,c,win
AS,AD,8S,6C,QS,8D,c,c,c,win
QD,QH,KS,7C,QS,TH,c,c,c,win
TH,JS,6C,AS,8C,7H,c,c,c,win
7H,AH,6C,7C,TH,7S,c,c,c,win
7S,6D,AH,8S,JC,TC,c,c,c,win
9D,JH,TD,8D,JC,QH,c,c,c,win
TS,7C,QS,TD,QD,7S,c,c,c,win
TD,AS,KC,QS,QH,7S,c,c,c,win
8C,JD,6S,9C,TH,9D,c,c,c,loss
7H,JC,9S,9C,9H,6S,c,r,r,loss
8C,9C,9H,JS,QS,7C,c,c,c,loss
JC,8C,QD,8S,JD,QH,c,c,c,win
8D,9H,8C,9S,TH,KH,c,c,c,win
KH,TD,6D,KS,8D,6C,c,c,c,loss
9S,KH,JD,8C,TC,8H,c,c,c,win
TH,7S,JD,6C,JS,8S,c,r,r,loss
QH,KS,9C,9H,8C,8H,c,r,r,loss
6S,AH,8D,JC,KS,7H,c,c,c,loss
8S,9S,JH,KD,JD,AD,c,c,c,loss
JD,AH,AC,8S,7H,9S,c,c,c,loss
KS,7S,KD,7H,9H,AD,c,c,c,win
QD,AD,6H,7C,6S,9H,c,c,c,win
TS,9C,8C,8H,8S,TC,c,r,c,win
AH,KC,9D,6D,9C,QD,c,r,c,loss
KS,TD,9C,8D,6S,AD,c,c,c,loss
9C,QH,9S,8H,8S,8C,c,c,c,win
QH,AH,8S,6D,7C,KD,c,c,c,loss
KS,8C,JS,TC,QH,6D,c,c,c,loss
AC,6C,7H,9D,8S,AD,c,c,c,win
8C,7H,TC,JH,6C,KC,c,c,c,loss
QS,AH,6C,KS,9H,KD,c,c,c,loss
JC,TH,TD,7D,7H,QC,c,c,c,win
TC,6D,8D,7S,7H,KH,c,c,c,win
7D,TD,6S,TH,KH,AH,c,c,c,win
TD,8C,AS,QS,7S,8S,c,c,c,loss
KS,JH,9D,8S,7S,AD,c,c,c,loss
8H,AS,JH,JD,6S,AC,c,c,c,loss
8H,AH,JD,8S,TD,9D,c,c,c,loss
JC,QC,KD,TC,6H,TD,c,c,c,win
8S,6C,TS,AC,7D,9C,c,c,c,win
TH,QH,8S,QD,TD,8H,c,c,c,win
KS,JC,8H,9D,6H,JS,c,c,c,loss
QH,TC,JS,KC,6S,JC,c,c,c,win
6S,TH,QS,AS,7H,8C,c,c,c,loss
AC,7D,7S,8S,9C,KD,c,c,c,loss
TS,6H,7C,JH,TD,QH,c,c,c,win
TD,9C,JD,QH,8C,TC,c,c,c,win
JH,9C,6D,7S,8S,6S,c,c,c,win
QD,QS,8C,7S,AS,6D,c,c,c,win
JS,8H,8C,7D,JH,TC,c,c,c,loss
6C,8S,6D,8D,6S,QS,c,c,c,win
6D,7S,6C,KC,TH,7C,c,c,c,loss
8H,8C,KH,6S,KC,JS,c,c,c,win
AD,6H,8D,QC,7S,9S,c,c,c,loss
7C,6C,8S,JC,7S,AS,c,r,c,loss
6C,JS,6D,KS,9C,6H,c,c,c,win
TD,QS,TH,7S,KD,7D,c,c,c,win
KD,AC,8H,TC,AS,TS,c,c,c,win
AS,9C,6D,9H,8C,7C,c,c,c,loss
8D,QC,TS,8C,JH,JC,c,c,c,win
