card1,card2,card3,card4,card5,card6,result
KS,JD,AC,KC,6D,9S,win
AD,9C,KD,6C,7H,QS,loss
KH,KS,6D,8S,9H,9S,win
6D,9H,KD,JC,KC,9S,loss
TC,JS,9H,KD,KC,KS,loss
8D,7D,AD,TC,7S,AH,loss
TH,8H,JD,QS,9C,TC,win
QS,9C,JD,7C,8C,6D,loss
7D,9C,KS,TC,JS,QH,win
KS,AS,QS,TC,9H,TS,loss
7C,8S,6D,9D,6H,KH,loss
JS,KS,TC,6H,QH,7C,loss
AD,6S,QS,TC,KH,TS,loss
6D,6C,JS,AH,QC,TC,loss
AC,7D,9C,8C,JH,8H,loss
JS,8H,TC,QH,7H,KS,loss
7S,QC,KD,9D,QS,6D,loss
JD,QC,8S,9C,JC,AH,win
9H,AH,TD,KD,JC,KH,loss
AC,9C,8H,6S,KC,7S,win
TH,8H,8D,AH,TD,QD,win
AH,6C,QS,8C,AD,TS,loss
AC,6C,KS,JC,QH,6H,loss
7C,6H,QD,8H,JS,JH,loss
7C,QH,6H,AS,JD,JS,loss
AS,9H,KC,AD,JH,7D,win
7S,9S,9C,TC,JC,8D,loss
AC,KH,7C,AS,KS,JD,loss
QC,KC,QH,KH,JC,TS,win
8C,7H,JC,TS,QD,8H,loss
AD,KS,7S,AC,9H,6C,win
JS,9H,8D,JC,TH,AH,win
QD,TS,6D,9D,QH,JC,loss
6D,7S,TH,AC,8D,QC,loss
KH,6C,JS,KS,TC,JH,win
7C,6H,AH,QS,TS,6C,win
7S,KH,6C,KS,JS,8C,loss
9C,9D,QC,KC,6D,KS,loss
8D,7H,7S,7D,7C,TD,win
AH,8C,7C,TS,6S,QS,loss
TH,7D,7H,9C,6C,AH,win
QD,TD,8C,9S,JH,TC,win
KS,AC,8D,TH,QC,TS,loss
TH,9H,JC,TC,AC,QD,loss
JS,8S,6C,8H,6D,TS,loss
8H,9S,KH,6D,8D,TS,win
QD,KD,6D,6H,KH,9D,loss
KD,6C,QD,9C,9S,8H,loss
KH,6S,6D,JC,QC,TH,win
TH,9H,6H,9S,8D,TS,win
7C,9D,7S,9S,KD,AC,win
AC,TH,8H,AH,TS,9H,loss
QD,9S,8H,AS,AC,9H,win
8H,QH,7D,KH,TC,AC,win
QH,9H,8H,JC,KH,QS,win
AH,8D,KD,JD,TS,6D,loss
9S,8C,KC,AD,QD,KS,loss
8S,QD,JS,KD,TH,AH,win
KD,QD,7S,AC,JH,AS,loss
7C,9C,QC,7D,9H,AD,win
AC,6S,TD,KS,8D,JS,loss
JS,JD,9S,7D,8C,6D,loss
9D,JS,AH,KH,JD,JC,win
KC,JS,JC,TS,8S,6H,win
TC,8S,AC,AH,JC,7C,win
JS,7D,6S,8D,TH,QC,loss
7S,6C,JD,TS,9H,8S,win
JH,TC,AD,KS,QD,TS,win
TS,8D,TH,QH,KD,7D,win
6S,QD,AC,QC,8H,9C,win
6D,9S,TH,JS,7D,JH,loss
9D,QH,KH,TH,AD,AC,win
6C,9S,8D,TH,7D,QD,win
9D,TC,AD,7C,TH,KC,win
7C,JD,6D,6C,8H,7S,win
QS,6H,8C,8H,6C,6D,win
6H,TD,JC,7H,6S,8H,loss
TS,TH,7D,6S,KH,QH,win
